StewartBrand_2006_1,73.02,2.75,121.95,,"170.77, 149.83"
StewartBrand_2006_10,62.33,2.08,148.31,,
StewartBrand_2006_11,68.49,7.02,122.79,"78.42, 79.5 , 78.62",
StewartBrand_2006_12,69.84,6.55,135.49,78.12 78.09,
StewartBrand_2006_13,73.6,2.77,158.8,"78.44 , 78.77, 78.78",
StewartBrand_2006_14,71.44,3.29,123.1,,
StewartBrand_2006_15,74.59,3.14,139.45,78.44,
StewartBrand_2006_16,72.85,2.78,125.97,78.32,
StewartBrand_2006_17,72.73,3.41,111.31,,
StewartBrand_2006_18,70.62,4.5,153.81,,
StewartBrand_2006_19,71.65,3.03,111.28,,
StewartBrand_2006_2,68.86,6.2,111.11,,198.5
StewartBrand_2006_20,71.64,3.02,128.6,,
StewartBrand_2006_21,67.09,2.25,138.62,,
StewartBrand_2006_22,69.4,2.46,111.01,,
StewartBrand_2006_23,62.13,2.26,104.62,,
StewartBrand_2006_24,68.03,2.88,118.86,,
StewartBrand_2006_25,69.64,2.01,111.26,,
StewartBrand_2006_26,67.9,6.75,133.88,,
StewartBrand_2006_27,70.42,2.06,104.08,,
StewartBrand_2006_28,68.95,2.1,109.58,,
StewartBrand_2006_29,68.93,1.35,99.71,,
StewartBrand_2006_3,65.75,3.32,120.6,78.22,147.31
StewartBrand_2006_30,77.9,27.76,111.95,,
StewartBrand_2006_31,79.75,5.1,134.06,,
StewartBrand_2006_32,78.83,2.06,130.52,,
StewartBrand_2006_33,78.45,8.35,111.12,,
StewartBrand_2006_34,61.5,1.08,104.83,,
StewartBrand_2006_4,70.09,4.48,112.94,78.96,153.86
StewartBrand_2006_5,71.83,3.41,109.32,,
StewartBrand_2006_6,62.28,1.12,95.08,,
StewartBrand_2006_7,68.36,2.46,124.86,,
StewartBrand_2006_8,64.74,2.05,124.77,,
StewartBrand_2006_9,67.27,3.54,134.34,,
